ID_GOOD;CATEGORY;GOOD_NAME;PRICE
1234567;КРАСОТА;шамунь;100
1234568;ЧИСТОТА;стиральный порошок;120
1234569;ЧИСТОТА;чистящее средство;50
1234570;ЧИСТОТА;средство для мытья посуды;30
1234571;ДЕКОР;резинка для волос;20
1234572;ДЕКОР;тушь для ресниц;300
1234573;ДЕКОР;помада;200
1234574;ДЕКОР;подарочный пакет;100
1234575;КРАСОТА;мыло;10
1234576;ДЕКОР;лак для ногтей;120
1234577;ДЕКОР;лак для волос;200
1234578;КРАСОТА;крем для рук;30
1234579;КРАСОТА;гель для душа;80
1234580;КРАСОТА;крем для лица;150
1234581;ЧИСТОТА;губка;15